IDPER,NOMPER,APEPER,DNIPER,EMAILPER,DIRPER,TELPER,TIPPER,FECHNA
"1","Juan","Peres","12312312","jose.peres@gmail.com","Imperial","123456789","1",null
"2","Carlos","Torres","12312346","carlos,torres","Mala","123456789","1",null
"3","Bryan","Benavente","99898746","bencabene.nryan","Imperial","258369741","1",null
"4","Daivis","Coronado","85274569","deivisc.coronado","San luis","741852963","1",null
"5","Jose","Levanop","13245678","jose.levano","Sam asuncion","321654987","1",null
"6","Jesus","cardenas","13245678","jesus.cardenas","Imperial","123456879","1",null
"7","Juan","QQuispe","12345678","juan.quispe","San vicente","741852963","1",null
"8","Jhordy","Caceres","11234567","jcaderes@gmail.com","Roma","852741963","1",null
"9","Ascencio","Luyo","12345058","ass.luyo@gmail.com","San vicente","741852960","1",null
"10","Marcos","Alarcon","13455678","marcos.alarcon@gmail.com","San vicente","132456789","1",null
"11","Martin","Saman","46879128","marinsamn@gmail.com","San Vicente","748159626","2","18/09/1998 14:54:54"
"12","RRoberto","Borjas","26159487","roberto.borjas","San vicente","332615948","2","12/11/2019 14:56:21"
"13","Alexander","Guitierres","15926147","alexander.guitierres","San vicente","226154875","2","12/11/2019 00:00:00"
"14","Maiker","Gonzales","26159484","maker.gonzales","San Vicente","465879132","2","18/09/1998 00:00:00"
"15","Jesus","Canales","78945612","jcanales","Mala","134567895","2","13/05/1999 15:00:08"
"16","Eber","Ocares","44567891","eocares","Nuevo Imperial","121545781","2","13/05/1999 00:00:00"
